Project|commit|codeLink|CWE ID|CVE ID|future_commit_id
ImageMagick|726812fa2fa7ce16bcf58f6e115f65427a1c0950|https://github.com/ImageMagick/ImageMagick/commit/726812fa2fa7ce16bcf58f6e115f65427a1c0950|CWE-119|CVE-2016-4564|4280d5421ce48482a67e07bcfdd2f98d6ce9f116
ImageMagick|78f82d9d1c2944725a279acd573a22168dc6e22a|https://github.com/ImageMagick/ImageMagick/commit/78f82d9d1c2944725a279acd573a22168dc6e22a|CWE-119|CVE-2015-8957|ffb9daf05acebfc8cec9fd205d1b75001bbe2f66
ImageMagick|7fd419441bc7103398e313558171d342c6315f44|https://github.com/ImageMagick/ImageMagick/commit/7fd419441bc7103398e313558171d342c6315f44|CWE-617|CVE-2017-9499|399631650b38eaf21c2f3c306b8b74e66be6a0d2
ImageMagick|83e0f8ffd7eeb7661b0ff83257da23d24ca7f078|https://github.com/ImageMagick/ImageMagick/commit/83e0f8ffd7eeb7661b0ff83257da23d24ca7f078|CWE-835|CVE-2017-11523|088df0ef758199e4f1101d397dde4eaf6aedd9df
ImageMagick|8ca35831e91c3db8c6d281d09b605001003bec08|https://github.com/ImageMagick/ImageMagick/commit/8ca35831e91c3db8c6d281d09b605001003bec08|CWE-772|CVE-2017-11310|d949a3258bdb9b7f363f7739761352d222c840be
ImageMagick|8ea44b48a182dd46d018f4b4f09a5e2ee9638105|https://github.com/ImageMagick/ImageMagick/commit/8ea44b48a182dd46d018f4b4f09a5e2ee9638105|CWE-125|CVE-2015-8958|6851a31bb1ced5dfe26249875ba0e208d2eafc1e
ImageMagick|a7759f410b773a1dd57b0e1fb28112e1cd8b97bc|https://github.com/ImageMagick/ImageMagick/commit/a7759f410b773a1dd57b0e1fb28112e1cd8b97bc|CWE-125|CVE-2019-13295|604588fc35c7585abb7a9e71f69bb82e4389fefc
ImageMagick|a906fe9298bf89e01d5272023db687935068849a|https://github.com/ImageMagick/ImageMagick/commit/a906fe9298bf89e01d5272023db687935068849a|CWE-119|CVE-2019-13300|025e77fcb2f45b21689931ba3bf74eac153afa48
ImageMagick|afa878a689870c28b6994ecf3bb8dbfb2b76d135|https://github.com/ImageMagick/ImageMagick/commit/afa878a689870c28b6994ecf3bb8dbfb2b76d135|CWE-20|CVE-2018-16644|6c57bd013576b6017c98b635811a5b3b4d86e8dd
ImageMagick|b8f17d08b7418204bf8a05a5c24e87b2fc395b75|https://github.com/ImageMagick/ImageMagick/commit/b8f17d08b7418204bf8a05a5c24e87b2fc395b75|CWE-125|CVE-2015-8958|6851a31bb1ced5dfe26249875ba0e208d2eafc1e
ImageMagick|c4e63ad30bc42da691f2b5f82a24516dd6b4dc70|https://github.com/ImageMagick/ImageMagick/commit/c4e63ad30bc42da691f2b5f82a24516dd6b4dc70|CWE-369|CVE-2016-7530|92ea28bd83a2eb14daced56f986823c7cad1077d
ImageMagick|ce08a3691a8ac29125e29fc41967b3737fa3f425|https://github.com/ImageMagick/ImageMagick/commit/ce08a3691a8ac29125e29fc41967b3737fa3f425|CWE-399|CVE-2019-13296|4a334bbf5584de37c6f5a47c380a531c8c4b140a
ImageMagick|d5089971bd792311aaab5cb73460326d7ef7f32d|https://github.com/ImageMagick/ImageMagick/commit/d5089971bd792311aaab5cb73460326d7ef7f32d|CWE-125|CVE-2019-13302|084c7d3587f0f10ad6eee880d1088c90fd393734
ImageMagick|e793eb203e5e0f91f5037aed6585e81b1e27395b|https://github.com/ImageMagick/ImageMagick/commit/e793eb203e5e0f91f5037aed6585e81b1e27395b|CWE-772|CVE-2017-12427|3755d2289b032919c065f6ab11ef570063f7f828
ImageMagick|e92040ea6ee2a844ebfd2344174076795a4787bd|https://github.com/ImageMagick/ImageMagick/commit/e92040ea6ee2a844ebfd2344174076795a4787bd|CWE-119|CVE-2019-13306|29efd648f38b73a64d73f14cd2019d869a585888
ImageMagick|06c8dd4de59e48d282d4f224faa64ab9012a711a|https://github.com/ImageMagick/ImageMagick/commit/06c8dd4de59e48d282d4f224faa64ab9012a711a|CWE-400|CVE-2017-17682|a7f42e484ef1a1ff74936bcedc87347208779c91
ImageMagick|078e9692a257e7a8aa36ccc750927f9617923061|https://github.com/ImageMagick/ImageMagick/commit/078e9692a257e7a8aa36ccc750927f9617923061|CWE-834|CVE-2017-11360|300fdbcfd2f8416ab810d18db92438183d4c6e71
ImageMagick|082223fb992448dbb574747deac9a30f986c116e|https://github.com/ImageMagick/ImageMagick/commit/082223fb992448dbb574747deac9a30f986c116e|CWE-772|CVE-2018-14437|613825111d639ee48334cfea4b1817f9f5c4f55d
ImageMagick|12f34b60564de1cbec08e23e2413dab5b64daeb7|https://github.com/ImageMagick/ImageMagick/commit/12f34b60564de1cbec08e23e2413dab5b64daeb7|CWE-617|CVE-2017-18252|76fdecd663409a50e6a509239f7ced405ecf4a64
ImageMagick|1f450bb5ba53d275de6d1cd086c98a0b549ad393|https://github.com/ImageMagick/ImageMagick/commit/1f450bb5ba53d275de6d1cd086c98a0b549ad393|CWE-787|CVE-2020-25664|a9d563d3d73874312080d30dc4ba07cecad56192
ImageMagick|23acdce3651447328c6ef71ede20ee60637ba39d|https://github.com/ImageMagick/ImageMagick/commit/23acdce3651447328c6ef71ede20ee60637ba39d|CWE-400|CVE-2018-15607|c8362214aca7af3d7af410a2c6fd87fa41cbf0f0
ImageMagick|2ba8f335fa06daf1165e0878462686028e633a74|https://github.com/ImageMagick/ImageMagick/commit/2ba8f335fa06daf1165e0878462686028e633a74|CWE-703,CWE-772||df8a62fe4938aa41a39e815937c58bc0ed21b664
ImageMagick|30a74ed25a4890acfa94f452d653d54c9628c87e|https://github.com/ImageMagick/ImageMagick/commit/30a74ed25a4890acfa94f452d653d54c9628c87e|CWE-770|CVE-2017-12429|98e5d0001cda195da0e8ea7650ab85c6f8333ff5
ImageMagick|30ccf9a0da1f47161b5935a95be854fe84e6c2a2|https://github.com/ImageMagick/ImageMagick/commit/30ccf9a0da1f47161b5935a95be854fe84e6c2a2|CWE-703,CWE-787||1f82e81bead325f02f5d71d217452f97b864d3d3
ImageMagick|329dd528ab79531d884c0ba131e97d43f872ab5d|https://github.com/ImageMagick/ImageMagick/commit/329dd528ab79531d884c0ba131e97d43f872ab5d|CWE-369|CVE-2021-20244|e7c6c1e0cf7be41e37308109a79ce25ea8b8ab75
ImageMagick|32a3eeb9e0da083cbc05909e4935efdbf9846df9|https://github.com/ImageMagick/ImageMagick/commit/32a3eeb9e0da083cbc05909e4935efdbf9846df9|CWE-770|CVE-2017-18028|d08250ec50eef2fd279f6fed859f50d051e58b53
ImageMagick|3d71aa8265ffaaf686021a6fbd54c037f71ee3a2|https://github.com/ImageMagick/ImageMagick/commit/3d71aa8265ffaaf686021a6fbd54c037f71ee3a2|CWE-369|CVE-2020-27773|a855d3ad660f307fdb071794351822f9ce878c4e
ImageMagick|406da3af9e09649cda152663c179902edf5ab3ac|https://github.com/ImageMagick/ImageMagick/commit/406da3af9e09649cda152663c179902edf5ab3ac|CWE-190|CVE-2020-25676|705a60a54db97c9a56b3ae78796223e9468097a3
ImageMagick|46382526a3f09cebf9f2af680fc55b2a668fcbef|https://github.com/ImageMagick/ImageMagick/commit/46382526a3f09cebf9f2af680fc55b2a668fcbef|CWE-772|CVE-2017-12418|45131f6133847d8494e8916c9ac12284cdbf6226
ImageMagick|4b352c0be410ad900469a079e389178f878aded8|https://github.com/ImageMagick/ImageMagick/commit/4b352c0be410ad900469a079e389178f878aded8|CWE-772|CVE-2018-14436|bb3acad195de95db86c7509d8072db01890470e0
ImageMagick|5294966898532a6bd54699fbf04edf18902513ac|https://github.com/ImageMagick/ImageMagick/commit/5294966898532a6bd54699fbf04edf18902513ac|CWE-125|CVE-2018-11625|c111ed9b035532c2c81ea569f2d22fded9517287
ImageMagick|533ea3b9047c67f9af49703de672f6c2e443f747|https://github.com/ImageMagick/ImageMagick/commit/533ea3b9047c67f9af49703de672f6c2e443f747|CWE-787|CVE-2016-7535|ed7cd70a3fbd8fbe657d5d5a18cd70a01c5d5858
ImageMagick|53ff6cadfa2051296d3bd67c06a693043222c4d6|https://github.com/ImageMagick/ImageMagick/commit/53ff6cadfa2051296d3bd67c06a693043222c4d6|CWE-772|CVE-2017-9409|dc447a2c3cf8a4de8023b0d12c0768d5222e2cb2
